Vehicle_Type,Problem,Symptoms,Cause,Solution,,
Bike,Hard Start,Needs many kicks or self,"Weak battery, clogged fuel",1. Charge battery. 2. Clean fuel line. 3. Check spark plug,,
Bike,No Start,Engine not starting,"Dead battery, no fuel, sensor fault",1. Check battery. 2. Check fuel pump. 3. Inspect crank sensor,,
Bike,Engine Cuts While Riding,Sudden stop on road,"Fuel blockage, injector fault",1. Clean fuel filter. 2. Clean injector. 3. Check wiring,,
Bike,Low Pickup,Poor acceleration,"Dirty air filter, injector clog",1. Clean air filter. 2. Clean injector. 3. Check throttle body,,
Bike,Engine Jerking,Pulling feeling,"Water in fuel, misfire",1. Drain fuel. 2. Replace plug. 3. Check ignition coil,,
Bike,Over Heating,Engine too hot,"Low coolant, low oil",1. Fill coolant. 2. Check oil. 3. Inspect fan,,
Bike,Excess Vibration,Handle shakes,"Loose bolts, worn mounts",1. Tighten bolts. 2. Replace mounts. 3. Balance wheel,,
Bike,Strange Engine Noise,Tick tick sound,Valve clearance issue,1. Adjust valves. 2. Inspect cam chain. 3. Check oil,,
Bike,Smoke From Exhaust,Blue or black smoke,"Oil burning, rich mixture",1. Tune carb. 2. Replace rings. 3. Check PCV,,
Bike,Petrol Smell,Fuel odor near bike,Leaking fuel pipe,1. Replace fuel pipe. 2. Tighten clamps. 3. Check tank cap,,
Bike,Poor Mileage,Consumes more fuel,"Low tyre pressure, tuning issue",1. Inflate tyres. 2. Tune engine. 3. Clean injector,,
Bike,Self Motor Weak,Slow crank,"Weak battery, worn starter",1. Charge battery. 2. Replace starter. 3. Check relay,,
Bike,Starter Button Not Working,No response on press,"Dirty switch, wire cut",1. Clean switch. 2. Repair wiring. 3. Replace switch,,
Bike,Clutch Slipping,RPM high no speed,Worn clutch plates,1. Adjust clutch cable. 2. Replace plates. 3. Check springs,,
Bike,Gear Hard,Difficulty changing gear,"Low gear oil, worn parts",1. Refill oil. 2. Adjust linkage. 3. Inspect gearbox,,
Bike,Chain Noise,Clack sound while moving,Dry or loose chain,1. Lubricate chain. 2. Adjust tension. 3. Replace sprocket,,
Bike,Brake Not Effective,Long stopping distance,"Worn brake pads, air in line",1. Replace pads. 2. Bleed brakes. 3. Check disc,,
Bike,Brake Noise,Squealing sound,Glazed pads,1. Clean pads. 2. Replace pads. 3. Apply grease,,
Bike,Tyre Puncture,Air loss,Nail or cut,1. Patch tube. 2. Replace tyre. 3. Check rim,,
Bike,Handle Pulling One Side,Bike not straight,Wheel alignment issue,1. Align wheels. 2. Check fork. 3. Balance tyre,,
Bike,Front Fork Leak,Oil near wheel,Damaged fork seal,1. Replace seal. 2. Refill oil. 3. Inspect bushings,,
Bike,Rear Shock Hard,Bumpy ride,Worn suspension,1. Adjust preload. 2. Replace shock. 3. Inspect swingarm,,
Bike,Headlight Dim,Low visibility,"Weak battery, bulb issue",1. Replace bulb. 2. Charge battery. 3. Check wiring,,
Bike,Indicator Not Blinking,No flash,"Relay fault, bulb blown",1. Replace relay. 2. Replace bulb. 3. Check fuse,,
Bike,Horn Weak,Low sound,"Low voltage, horn fault",1. Charge battery. 2. Replace horn. 3. Clean terminals,,
Bike,Speedometer Not Working,Speed shows zero,"Cable broken, sensor issue",1. Replace cable. 2. Check sensor. 3. Inspect wiring,,
Bike,Fuel Gauge Wrong,Shows wrong level,Float stuck,1. Clean sender. 2. Replace unit. 3. Check wiring,,
Bike,Seat Not Locking,Seat opens,Broken lock,1. Repair lock. 2. Replace latch. 3. Adjust cable,,
Bike,Side Stand Loose,Bike tilts too much,Spring worn,1. Replace spring. 2. Tighten bolts. 3. Check stand,,
Bike,Mirror Loose,Mirror shakes,Loose thread,1. Tighten mirror. 2. Apply thread lock. 3. Replace clamp,,
Bike,Front Suspension Noise,Clunk on bumps,"Worn bush, loose bolts",1. Tighten bolts. 2. Replace bush. 3. Inspect fork,,
Bike,Rear Suspension Noise,Noise from rear,Worn shock bush,1. Replace bush. 2. Service shock. 3. Check linkage,,
Bike,Steering Vibration,Handle vibrates at speed,Wheel imbalance,1. Balance wheel. 2. Check tyre. 3. Align fork,,
Bike,Chain Slip,Jumping while riding,"Loose chain, worn sprocket",1. Adjust chain. 2. Replace sprocket. 3. Lubricate,,
Bike,Throttle Stuck,Throttle not returning,"Dirty cable, frayed wire",1. Clean cable. 2. Lubricate. 3. Replace cable,,
Bike,Engine Stalling Idle,Stops at signal,"Dirty throttle body, sensor fault",1. Clean throttle body. 2. Adjust idle. 3. Check TPS,,
Bike,Fuel Leak,Petrol dripping,"Cracked hose, loose clamp",1. Replace hose. 2. Tighten clamp. 3. Inspect tank,,
Bike,Battery Drains Fast,Battery dead overnight,"Regulator fault, wiring short",1. Check regulator. 2. Inspect wiring. 3. Replace battery,,
Bike,Charging Problem,Battery not charging,"Stator fault, rectifier bad",1. Voltage test. 2. Replace rectifier. 3. Check stator,,
Bike,ABS Light On,ABS warning on dash,"Dirty sensor, wiring fault",1. Clean sensor. 2. Check wiring. 3. Reset ECU,,
Bike,Injector Clog,"Misfire, rough idle","Dirty fuel, carbon buildup",1. Use cleaner. 2. Ultrasonic clean. 3. Replace injector,,
Bike,ECU Error Light,Check engine light,"Sensor fault, loose connector",1. Scan codes. 2. Fix sensor. 3. Clear memory,,
Bike,Engine Over Rev,RPM rises without speed,"Clutch worn, cable tight",1. Adjust clutch cable 2. Replace clutch plates 3. Inspect springs,,
Bike,Cold Start Problem,Starts only when warm,Choke system faulty,1. Inspect choke 2. Clean carb 3. Adjust idle screw,,
